Проверка зависимостей|OK|Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/00__.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/00__.log
Синхронизация .env|OK|Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/01__env.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/01__env.log
Проверка .env|OK|Файл найден|
Проверка портов .env|OK|Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/03__env.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/03__env.log
docker compose up -d|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/04_docker_compose_up_-d.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/04_docker_compose_up_-d.log
Ожидание готовности docker compose|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/05__docker_compose.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/05__docker_compose.log
Bootstrap RabbitMQ|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/06_Bootstrap_RabbitMQ.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/06_Bootstrap_RabbitMQ.log
Миграции CRM/Auth|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/07__CRM_Auth.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/07__CRM_Auth.log
Smoke-проверка BACKUP_*|OK|Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/08_Smoke-_BACKUP_.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/08_Smoke-_BACKUP_.log
Smoke-проверка backup без S3|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/09_Smoke-_backup_S3.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/09_Smoke-_backup_S3.log
Запуск backend-профиля|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/10__backend-_.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/10__backend-_.log
Ожидание готовности backend-сервисов|OK|Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/11__backend-_.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/11__backend-_.log
Запуск локальных backend-процессов|SKIP|флаг --with-backend не передан|
Запуск фронтенда|OK|Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/13__.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/13__.log
Загрузка seed-данных|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/14__seed-_.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/14__seed-_.log
Проверка локальной инфраструктуры|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251017-225102/steps/15__.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251017-225102/steps/15__.log
